dt;weekday;holiday
2052-12-25;wednesday;Natal
2053-01-01;wednesday;Confraternização Universal
2053-02-17;monday;Carnaval
2053-02-18;tuesday;Carnaval
2053-04-04;friday;Paixão de Cristo
2053-04-21;monday;Tiradentes
2053-05-01;thursday;Dia do Trabalho
2053-06-05;thursday;Corpus Christi
2053-09-07;sunday;Independência do Brasil
2053-10-12;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2053-11-02;sunday;Finados
2053-11-15;saturday;Proclamação da República
2053-11-20;thursday;Dia Nacional de Zumbi e da Consciência Negra
2053-12-25;thursday;Natal
2054-01-01;thursday;Confraternização Universal
2054-02-09;monday;Carnaval
2054-02-10;tuesday;Carnaval
2054-03-27;friday;Paixão de Cristo
2054-04-21;tuesday;Tiradentes
2054-05-01;friday;Dia do Trabalho
2054-05-28;thursday;Corpus Christi
2054-09-07;monday;Independência do Brasil
2054-10-12;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2054-11-02;monday;Finados
2054-11-15;sunday;Proclamação da República
2054-11-20;friday;Dia Nacional de Zumbi e da Consciência Negra
2054-12-25;friday;Natal
2055-01-01;friday;Confraternização Universal
