dt;weekday;holiday
2654294400;tuesday;Carnaval
2658182400;friday;Paixão de Cristo
2660342400;tuesday;Tiradentes
2661206400;friday;Dia do Trabalho
2663539200;thursday;Corpus Christi
2672352000;monday;Independência do Brasil
2675376000;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2677190400;monday;Finados
2678313600;sunday;Proclamação da República
2678745600;friday;Dia Nacional de Zumbi e da Consciência Negra
2681769600;friday;Natal
2682374400;friday;Confraternização Universal
2687472000;monday;Carnaval
2687558400;tuesday;Carnaval
2691446400;friday;Paixão de Cristo
2691878400;wednesday;Tiradentes
2692742400;saturday;Dia do Trabalho
2696803200;thursday;Corpus Christi
2703888000;tuesday;Independência do Brasil
2706912000;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2708726400;tuesday;Finados
2709849600;monday;Proclamação da República
2710281600;saturday;Dia Nacional de Zumbi e da Consciência Negra
2713305600;saturday;Natal
2713910400;saturday;Confraternização Universal
2717712000;monday;Carnaval
2717798400;tuesday;Carnaval
2721686400;friday;Paixão de Cristo
2723500800;friday;Tiradentes
2724364800;monday;Dia do Trabalho
2727043200;thursday;Corpus Christi
2735510400;thursday;Independência do Brasil
2738534400;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2740348800;thursday;Finados
2741472000;wednesday;Proclamação da República
2741904000;monday;Dia Nacional de Zumbi e da Consciência Negra
2744928000;monday;Natal
2745532800;monday;Confraternização Universal
2750976000;monday;Carnaval
2751062400;tuesday;Carnaval
2754950400;friday;Paixão de Cristo
2755036800;saturday;Tiradentes
2755900800;tuesday;Dia do Trabalho
2760307200;thursday;Corpus Christi
2767046400;friday;Independência do Brasil
2770070400;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2771884800;friday;Finados
2773008000;thursday;Proclamação da República
2773440000;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2776464000;tuesday;Natal
2777068800;tuesday;Confraternização Universal
2781820800;monday;Carnaval
2781907200;tuesday;Carnaval
2785795200;friday;Paixão de Cristo
2786572800;sunday;Tiradentes
2787436800;wednesday;Dia do Trabalho
2791152000;thursday;Corpus Christi
2798582400;saturday;Independência do Brasil
2801606400;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2803420800;saturday;Finados
2804544000;friday;Proclamação da República
2804976000;wednesday;Dia Nacional de Zumbi e da Consciência Negra
2808000000;wednesday;Natal
2808604800;wednesday;Confraternização Universal
2812060800;monday;Carnaval
2812147200;tuesday;Carnaval
2816035200;friday;Paixão de Cristo
2818108800;monday;Tiradentes
2818972800;thursday;Dia do Trabalho
2821392000;thursday;Corpus Christi
2830118400;sunday;Independência do Brasil
2833142400;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2834956800;sunday;Finados
2836080000;saturday;Proclamação da República
2836512000;thursday;Dia Nacional de Zumbi e da Consciência Negra
2839536000;thursday;Natal
2840140800;thursday;Confraternização Universal
2845324800;monday;Carnaval
2845411200;tuesday;Carnaval
2849299200;friday;Paixão de Cristo
2849731200;wednesday;Tiradentes
2850595200;saturday;Dia do Trabalho
2854656000;thursday;Corpus Christi
2861740800;tuesday;Independência do Brasil
